Variable Name,Description
Carat, Carat weight of the cubic zirconia.
Cut," Describe the cut quality of the cubic zirconia. Quality is increasing order Fair, Good, Very Good, Premium, Ideal."
Color , Colour of the cubic zirconia.With D being the worst and J the best.
Clarity,"Clarity refers to the absence of the Inclusions and Blemishes. (In order from Worst to Best in terms of avg price) IF, VVS1, VVS2, VS1, VS2, Sl1, Sl2, l1"
Depth," The Height of cubic zirconia, measured from the Culet to the table, divided by its average Girdle Diameter."
Table, The Width of the cubic zirconia's Table expressed as a Percentage of its Average Diameter.
Price, the Price of the cubic zirconia.
X, Length of the cubic zirconia in mm.
Y, Width of the cubic zirconia in mm.
Z, Height of the cubic zirconia in mm.
